%missing,AUC,Accuracy,F1-score,classifier,w_unlabelled
0.0,0.870571764294,0.87,0.882882882883,mlp,0.1
0.0,0.877309432736,0.8775,0.872062663185,hardb_mlp,0.1
0.0,0.952711317783,0.9525,0.95421686747,clsdep_mlp,0.1
0.0,0.860271506788,0.86,0.866666666667,mlp,0.2
0.0,0.967486687167,0.9675,0.96725440806,hardb_mlp,0.2
0.0,0.855221380535,0.855,0.860576923077,clsdep_mlp,0.2
0.0,0.930148253706,0.93,0.931707317073,mlp,0.3
0.0,0.867434185855,0.8675,0.865139949109,hardb_mlp,0.3
0.0,0.890022250556,0.89,0.89,clsdep_mlp,0.3
0.0,0.952611315283,0.9525,0.953316953317,mlp,0.4
0.0,0.960099002475,0.96,0.960591133005,hardb_mlp,0.4
0.0,0.867884197105,0.8675,0.876456876457,clsdep_mlp,0.4
0.0,0.970049251231,0.97,0.970149253731,mlp,0.5
0.0,0.965074126853,0.965,0.965346534653,hardb_mlp,0.5
0.0,0.857558938973,0.8575,0.858560794045,clsdep_mlp,0.5
0.0,0.962561564039,0.9625,0.962779156328,mlp,0.6
0.0,0.867434185855,0.8675,0.865139949109,hardb_mlp,0.6
0.0,0.957586439661,0.9575,0.958024691358,clsdep_mlp,0.6
0.0,0.857483937098,0.8575,0.856423173804,mlp,0.7
0.0,0.952661316533,0.9525,0.953771289538,hardb_mlp,0.7
0.0,0.957561439036,0.9575,0.957816377171,clsdep_mlp,0.7
0.0,0.86745918648,0.8675,0.86582278481,mlp,0.8
0.0,0.962536563414,0.9625,0.962593516209,hardb_mlp,0.8
0.0,0.962561564039,0.9625,0.962779156328,clsdep_mlp,0.8
0.0,0.854996374909,0.855,0.854271356784,mlp,0.9
0.0,0.849946248656,0.85,0.847715736041,hardb_mlp,0.9
0.0,0.942611065277,0.9425,0.943488943489,clsdep_mlp,0.9
0.0,0.957586439661,0.9575,0.958024691358,mlp,1.0
0.0,0.965074126853,0.965,0.965346534653,hardb_mlp,1.0
0.0,0.869946748669,0.87,0.868020304569,clsdep_mlp,1.0
