%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9649781113195747,0.965,0.9658536585365853,mlp,0.5
0.0,0.9577861163227016,0.9575,0.9580246913580247,bw_mlp,0.5
0.0,0.9494684177611007,0.95,0.952153110047847,wu_mlp,0.5
0.0,0.9597248280175109,0.96,0.961352657004831,hb_mlp,0.5
0.0,0.9622889305816135,0.9625,0.963680387409201,eu_mlp,0.5
0.1,0.9680425265791119,0.9675,0.9675810473815462,mlp,0.5
0.1,0.9580362726704189,0.9575,0.9576059850374065,bw_mlp,0.5
0.1,0.7774233896185114,0.7825,0.8220858895705521,wu_mlp,0.5
0.1,0.9649781113195747,0.965,0.9658536585365853,hb_mlp,0.5
0.1,0.8110068792995622,0.815,0.8432203389830508,eu_mlp,0.5
0.2,0.9387742338961851,0.9375,0.93573264781491,mlp,0.5
0.2,0.9606003752345216,0.96,0.9600000000000001,bw_mlp,0.5
0.2,0.9674171357098186,0.9675,0.9683698296836983,wu_mlp,0.5
0.2,0.9648530331457161,0.965,0.9660194174757282,hb_mlp,0.5
0.2,0.9674171357098186,0.9675,0.9683698296836983,eu_mlp,0.5
0.30000000000000004,0.9023139462163853,0.9,0.8924731182795699,mlp,0.5
0.30000000000000004,0.941213258286429,0.94,0.9384615384615385,bw_mlp,0.5
0.30000000000000004,0.960100062539087,0.96,0.9607843137254901,wu_mlp,0.5
0.30000000000000004,0.9624140087554722,0.9625,0.9635036496350365,hb_mlp,0.5
0.30000000000000004,0.9676672920575359,0.9675,0.9680589680589681,eu_mlp,0.5
0.4,0.9121951219512194,0.91,0.9037433155080214,mlp,0.5
0.4,0.9485303314571608,0.9475,0.9465648854961833,bw_mlp,0.5
0.4,0.9598499061913696,0.96,0.9611650485436893,wu_mlp,0.5
0.4,0.9625390869293309,0.9625,0.963325183374083,hb_mlp,0.5
0.4,0.9627892432770482,0.9625,0.9629629629629629,eu_mlp,0.5
0.5,0.775609756097561,0.77,0.7106918238993711,mlp,0.5
0.5,0.9291432145090681,0.9275,0.9242819843342036,bw_mlp,0.5
0.5,0.9460913070669168,0.945,0.9438775510204083,wu_mlp,0.5
0.5,0.9388993120700437,0.9375,0.9354005167958657,hb_mlp,0.5
0.5,0.9363352095059412,0.935,0.9329896907216495,eu_mlp,0.5
0.6000000000000001,0.5,0.4875,0.0,mlp,0.5
0.6000000000000001,0.9337711069418387,0.9325,0.9305912596401029,bw_mlp,0.5
0.6000000000000001,0.957285803627267,0.9575,0.9588377723970944,wu_mlp,0.5
0.6000000000000001,0.9552220137585992,0.955,0.9556650246305418,hb_mlp,0.5
0.6000000000000001,0.914383989993746,0.9125,0.9076517150395779,eu_mlp,0.5
0.7000000000000001,0.5,0.4875,0.0,mlp,0.5
0.7000000000000001,0.9410881801125703,0.94,0.9387755102040816,bw_mlp,0.5
0.7000000000000001,0.960100062539087,0.96,0.9607843137254901,wu_mlp,0.5
0.7000000000000001,0.965228267667292,0.965,0.9655172413793103,hb_mlp,0.5
0.7000000000000001,0.7828017510944341,0.7775,0.7244582043343651,eu_mlp,0.5
0.8,0.5,0.4875,0.0,mlp,0.5
0.8,0.6703564727954973,0.6675,0.631578947368421,bw_mlp,0.5
0.8,0.7923702313946217,0.795,0.8177777777777777,wu_mlp,0.5
0.8,0.9285178236397749,0.9275,0.9262086513994912,hb_mlp,0.5
0.8,0.5,0.4875,0.0,eu_mlp,0.5
0.9,0.5,0.4875,0.0,mlp,0.5
0.9,0.8731707317073171,0.87,0.8547486033519553,bw_mlp,0.5
0.9,0.9120700437773608,0.91,0.9042553191489361,wu_mlp,0.5
0.9,0.8707317073170732,0.8675,0.8515406162464986,hb_mlp,0.5
0.9,0.5,0.4875,0.0,eu_mlp,0.5
1.0,0.5,0.4875,0.0,mlp,0.5
1.0,0.5,0.4875,0.0,bw_mlp,0.5
1.0,0.5,0.4875,0.0,wu_mlp,0.5
1.0,0.5,0.4875,0.0,hb_mlp,0.5
1.0,0.5,0.4875,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9554098688819939,0.955,0.9543147208121826,mlp,0.5
0.0,0.783279951956761,0.7825,0.7830423940149626,bw_mlp,0.5
0.0,0.9432739465518968,0.9425,0.9423558897243108,wu_mlp,0.5
0.0,0.9429736763086779,0.9425,0.9417721518987341,hb_mlp,0.5
0.0,0.9409968972074869,0.94,0.9402985074626865,eu_mlp,0.5
0.1,0.9495045540986888,0.95,0.9476439790575917,mlp,0.5
0.1,0.7433940546491842,0.7425,0.7444168734491317,bw_mlp,0.5
0.1,0.9432739465518968,0.9425,0.9423558897243108,wu_mlp,0.5
0.1,0.9455509958963068,0.945,0.9444444444444444,hb_mlp,0.5
0.1,0.9458512661395256,0.945,0.9450000000000001,eu_mlp,0.5
0.2,0.9126714042638375,0.915,0.9050279329608938,mlp,0.5
0.2,0.9288859973976579,0.93,0.9251336898395722,bw_mlp,0.5
0.2,0.9452507256530879,0.945,0.9438775510204083,wu_mlp,0.5
0.2,0.9356921229106197,0.935,0.9346733668341709,hb_mlp,0.5
0.2,0.7993193874487038,0.795,0.8169642857142858,eu_mlp,0.5
0.30000000000000004,0.8714342908617756,0.875,0.8538011695906433,mlp,0.5
0.30000000000000004,0.9417725953358022,0.9425,0.9393139841688655,bw_mlp,0.5
0.30000000000000004,0.9232559303373036,0.9225,0.9223057644110275,wu_mlp,0.5
0.30000000000000004,0.9382694424982485,0.9375,0.93734335839599,hb_mlp,0.5
0.30000000000000004,0.94009608647783,0.94,0.9384615384615385,eu_mlp,0.5
0.4,0.6482334100690622,0.655,0.543046357615894,mlp,0.5
0.4,0.9391952757481733,0.94,0.9365079365079365,bw_mlp,0.5
0.4,0.9431238114302873,0.9425,0.9420654911838792,wu_mlp,0.5
0.4,0.9498048243419077,0.95,0.9481865284974094,hb_mlp,0.5
0.4,0.9451005905314783,0.945,0.9435897435897437,eu_mlp,0.5
0.5,0.7449954959463517,0.7525,0.6597938144329897,mlp,0.5
0.5,0.8949304373936543,0.8975,0.8845070422535212,bw_mlp,0.5
0.5,0.9300870783705335,0.93,0.9282051282051282,wu_mlp,0.5
0.5,0.930237213492143,0.93,0.9285714285714285,hb_mlp,0.5
0.5,0.9310129116204584,0.9325,0.926829268292683,eu_mlp,0.5
0.6000000000000001,0.5592783505154639,0.5725,0.2119815668202765,mlp,0.5
0.6000000000000001,0.7162446201581423,0.715,0.7205882352941176,bw_mlp,0.5
0.6000000000000001,0.6198578720848764,0.61,0.7022900763358778,wu_mlp,0.5
0.6000000000000001,0.920078070263237,0.92,0.917948717948718,hb_mlp,0.5
0.6000000000000001,0.8455109598638775,0.85,0.8181818181818181,eu_mlp,0.5
0.7000000000000001,0.5,0.515,0.0,mlp,0.5
0.7000000000000001,0.9258582724452007,0.9275,0.9209809264305178,bw_mlp,0.5
0.7000000000000001,0.8190371334200781,0.815,0.8333333333333334,wu_mlp,0.5
0.7000000000000001,0.9406966269642679,0.94,0.9396984924623115,hb_mlp,0.5
0.7000000000000001,0.6005154639175257,0.6125,0.3347639484978541,eu_mlp,0.5
0.8,0.5,0.515,0.0,mlp,0.5
0.8,0.8445851266139527,0.8475,0.8262108262108263,bw_mlp,0.5
0.8,0.7010309278350515,0.695,0.7415254237288136,wu_mlp,0.5
0.8,0.8964317886097488,0.8975,0.8906666666666666,hb_mlp,0.5
0.8,0.5,0.515,0.0,eu_mlp,0.5
0.9,0.5,0.515,0.0,mlp,0.5
0.9,0.7810779701731558,0.7875,0.7213114754098362,bw_mlp,0.5
0.9,0.7323341006906217,0.7325,0.724935732647815,wu_mlp,0.5
0.9,0.7683415073566209,0.775,0.7019867549668873,hb_mlp,0.5
0.9,0.5,0.515,0.0,eu_mlp,0.5
1.0,0.5,0.515,0.0,mlp,0.5
1.0,0.5,0.515,0.0,bw_mlp,0.5
1.0,0.5,0.515,0.0,wu_mlp,0.5
1.0,0.5,0.515,0.0,hb_mlp,0.5
1.0,0.5,0.515,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9473776398758883,0.9475,0.9457364341085271,mlp,0.5
0.0,0.9522320088079271,0.9525,0.9506493506493505,bw_mlp,0.5
0.0,0.938419577619858,0.9375,0.9376558603491272,wu_mlp,0.5
0.0,0.9454008607746973,0.945,0.9441624365482233,hb_mlp,0.5
0.0,0.9408467620858775,0.94,0.94,eu_mlp,0.5
0.1,0.9596636973275948,0.96,0.9583333333333333,mlp,0.5
0.1,0.9363176859173256,0.9375,0.9329758713136729,bw_mlp,0.5
0.1,0.9529826844159744,0.9525,0.9518987341772152,wu_mlp,0.5
0.1,0.9458512661395256,0.945,0.9450000000000001,hb_mlp,0.5
0.1,0.9405464918426585,0.94,0.9393939393939394,eu_mlp,0.5
0.2,0.9282854569112201,0.93,0.9234972677595628,mlp,0.5
0.2,0.9388950055049544,0.94,0.9358288770053476,bw_mlp,0.5
0.2,0.9303873486137525,0.93,0.9289340101522843,wu_mlp,0.5
0.2,0.9402462215994395,0.94,0.9387755102040816,hb_mlp,0.5
0.2,0.9428235411870685,0.9425,0.9414758269720102,eu_mlp,0.5
0.30000000000000004,0.9102442197978181,0.9125,0.9025069637883009,mlp,0.5
0.30000000000000004,0.7400160144129716,0.735,0.7685589519650655,bw_mlp,0.5
0.30000000000000004,0.7815784205785206,0.7775,0.7999999999999999,wu_mlp,0.5
0.30000000000000004,0.9425232709438495,0.9425,0.9408740359897172,hb_mlp,0.5
0.30000000000000004,0.9399459513562206,0.94,0.9381443298969072,eu_mlp,0.5
0.4,0.8456610949854869,0.85,0.8192771084337348,mlp,0.5
0.4,0.946626964267841,0.9475,0.9442970822281166,bw_mlp,0.5
0.4,0.9475277749974979,0.9475,0.9460154241645243,wu_mlp,0.5
0.4,0.8816935241717546,0.88,0.8834951456310681,hb_mlp,0.5
0.4,0.9473776398758883,0.9475,0.9457364341085271,eu_mlp,0.5
0.5,0.6961765589030127,0.705,0.5693430656934306,mlp,0.5
0.5,0.9152487238514664,0.9175,0.9080779944289693,bw_mlp,0.5
0.5,0.9420728655790211,0.9425,0.9399477806788511,wu_mlp,0.5
0.5,0.9448003202882594,0.945,0.9430051813471502,hb_mlp,0.5
0.5,0.930862776498849,0.9325,0.9264305177111716,eu_mlp,0.5
