%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9520050125313284,0.9525,0.9496021220159151,mlp,0.5
0.0,0.9622807017543858,0.9625,0.9604221635883904,bw_mlp,0.5
0.0,0.9535087719298246,0.9525,0.9511568123393317,wu_mlp,0.5
0.0,0.9580200501253132,0.9575,0.9558441558441558,hb_mlp,0.5
0.0,0.9680451127819549,0.9675,0.9662337662337663,eu_mlp,0.5
0.1,0.950125313283208,0.95,0.9476439790575917,mlp,0.5
0.1,0.9453634085213033,0.945,0.9427083333333334,bw_mlp,0.5
0.1,0.9506265664160402,0.95,0.9481865284974093,wu_mlp,0.5
0.1,0.9429824561403509,0.9425,0.9402597402597404,hb_mlp,0.5
0.1,0.9511278195488723,0.95,0.9487179487179489,eu_mlp,0.5
0.2,0.9407268170426066,0.9425,0.9373297002724796,mlp,0.5
0.2,0.9459899749373433,0.9475,0.943089430894309,bw_mlp,0.5
0.2,0.9587719298245614,0.9575,0.9565217391304348,wu_mlp,0.5
0.2,0.949624060150376,0.95,0.9470899470899471,hb_mlp,0.5
0.2,0.9543859649122807,0.955,0.9521276595744681,eu_mlp,0.5
0.30000000000000004,0.881578947368421,0.8875,0.8656716417910448,mlp,0.5
0.30000000000000004,0.9409774436090225,0.9425,0.937669376693767,bw_mlp,0.5
0.30000000000000004,0.9548872180451128,0.955,0.9526315789473683,wu_mlp,0.5
0.30000000000000004,0.9511278195488723,0.95,0.9487179487179489,hb_mlp,0.5
0.30000000000000004,0.9641604010025062,0.965,0.9625668449197862,eu_mlp,0.5
0.4,0.8796992481203008,0.885,0.8647058823529412,mlp,0.5
0.4,0.9185463659147869,0.92,0.9135135135135135,bw_mlp,0.5
0.4,0.9484962406015037,0.9475,0.9460154241645244,wu_mlp,0.5
0.4,0.9487468671679199,0.9475,0.9462915601023019,hb_mlp,0.5
0.4,0.9649122807017544,0.965,0.9631578947368421,eu_mlp,0.5
0.5,0.5263157894736842,0.55,0.1,mlp,0.5
0.5,0.9431077694235589,0.945,0.9398907103825138,bw_mlp,0.5
0.5,0.9395989974937343,0.94,0.9365079365079366,wu_mlp,0.5
0.5,0.9593984962406015,0.96,0.9574468085106383,hb_mlp,0.5
0.5,0.9431077694235589,0.945,0.9398907103825138,eu_mlp,0.5
0.6000000000000001,0.5868421052631579,0.6075,0.29596412556053814,mlp,0.5
0.6000000000000001,0.9238095238095237,0.925,0.9193548387096774,bw_mlp,0.5
0.6000000000000001,0.9513784461152883,0.95,0.9489795918367347,wu_mlp,0.5
0.6000000000000001,0.9233082706766917,0.925,0.9184782608695652,hb_mlp,0.5
0.6000000000000001,0.8770676691729324,0.8825,0.8613569321533924,eu_mlp,0.5
0.7000000000000001,0.5,0.525,0.0,mlp,0.5
0.7000000000000001,0.9027568922305764,0.905,0.8956043956043956,bw_mlp,0.5
0.7000000000000001,0.9239348370927318,0.9225,0.9211195928753181,wu_mlp,0.5
0.7000000000000001,0.9515037593984962,0.9525,0.9490616621983914,hb_mlp,0.5
0.7000000000000001,0.5526315789473684,0.575,0.1904761904761905,eu_mlp,0.5
0.8,0.5,0.525,0.0,mlp,0.5
0.8,0.8038847117794486,0.8075,0.7830985915492958,bw_mlp,0.5
0.8,0.9224310776942356,0.9225,0.9186351706036746,wu_mlp,0.5
0.8,0.8730576441102758,0.8775,0.8587896253602306,hb_mlp,0.5
0.8,0.5,0.525,0.0,eu_mlp,0.5
0.9,0.5,0.525,0.0,mlp,0.5
0.9,0.76328320802005,0.7725,0.7073954983922829,bw_mlp,0.5
0.9,0.8927318295739348,0.895,0.8846153846153847,wu_mlp,0.5
0.9,0.8840852130325815,0.8875,0.8732394366197183,hb_mlp,0.5
0.9,0.5157894736842106,0.54,0.061224489795918366,eu_mlp,0.5
1.0,0.5,0.525,0.0,mlp,0.5
1.0,0.5,0.525,0.0,bw_mlp,0.5
1.0,0.5,0.525,0.0,wu_mlp,0.5
1.0,0.5,0.525,0.0,hb_mlp,0.5
1.0,0.5,0.525,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9138621794871794,0.9125,0.912718204488778,mlp,0.5
0.0,0.9140625,0.9125,0.9122807017543859,bw_mlp,0.5
0.0,0.8976362179487178,0.8975,0.9007263922518159,wu_mlp,0.5
0.0,0.8898237179487178,0.89,0.8942307692307693,hb_mlp,0.5
0.0,0.8922275641025641,0.8925,0.8968824940047961,eu_mlp,0.5
0.1,0.9092548076923077,0.9075,0.906801007556675,mlp,0.5
0.1,0.9066506410256411,0.905,0.9045226130653268,bw_mlp,0.5
0.1,0.9002403846153846,0.9,0.9029126213592232,wu_mlp,0.5
0.1,0.8878205128205129,0.8875,0.8905109489051095,hb_mlp,0.5
0.1,0.8974358974358975,0.8975,0.9012048192771084,eu_mlp,0.5
0.2,0.9048477564102565,0.9025,0.9002557544757033,mlp,0.5
0.2,0.8986378205128205,0.8975,0.8982630272952854,bw_mlp,0.5
0.2,0.8920272435897436,0.8925,0.8973747016706445,wu_mlp,0.5
0.2,0.9002403846153846,0.9,0.9029126213592232,hb_mlp,0.5
0.2,0.8998397435897435,0.9,0.9038461538461539,eu_mlp,0.5
0.30000000000000004,0.8816105769230769,0.8775,0.8686327077747988,mlp,0.5
0.30000000000000004,0.9036458333333334,0.9025,0.9032258064516129,bw_mlp,0.5
0.30000000000000004,0.8922275641025641,0.8925,0.8968824940047961,wu_mlp,0.5
0.30000000000000004,0.8954326923076923,0.895,0.8975609756097561,hb_mlp,0.5
0.30000000000000004,0.8976362179487178,0.8975,0.9007263922518159,eu_mlp,0.5
0.4,0.8429487179487178,0.8375,0.8189415041782729,mlp,0.5
0.4,0.9048477564102565,0.9025,0.9002557544757033,bw_mlp,0.5
0.4,0.8844150641025641,0.885,0.8904761904761905,wu_mlp,0.5
0.4,0.8986378205128205,0.8975,0.8982630272952854,hb_mlp,0.5
0.4,0.9050480769230769,0.9025,0.8997429305912596,eu_mlp,0.5
0.5,0.6800881410256411,0.6675,0.5333333333333333,mlp,0.5
0.5,0.8998397435897435,0.8975,0.8951406649616368,bw_mlp,0.5
0.5,0.898036858974359,0.8975,0.8997555012224939,wu_mlp,0.5
0.5,0.8904246794871795,0.89,0.8926829268292682,hb_mlp,0.5
0.5,0.8733974358974359,0.87,0.8631578947368421,eu_mlp,0.5
0.6000000000000001,0.5887419871794871,0.5725,0.3076923076923077,mlp,0.5
0.6000000000000001,0.8760016025641024,0.8725,0.8654353562005276,bw_mlp,0.5
0.6000000000000001,0.9106570512820512,0.91,0.911764705882353,wu_mlp,0.5
0.6000000000000001,0.8796073717948718,0.88,0.8851674641148325,hb_mlp,0.5
0.6000000000000001,0.7373798076923077,0.7275,0.6517571884984026,eu_mlp,0.5
0.7000000000000001,0.5,0.48,0.0,mlp,0.5
0.7000000000000001,0.8788060897435898,0.875,0.8670212765957447,bw_mlp,0.5
0.7000000000000001,0.8503605769230769,0.8525,0.8643678160919539,wu_mlp,0.5
0.7000000000000001,0.8657852564102564,0.865,0.8669950738916256,hb_mlp,0.5
0.7000000000000001,0.6728766025641025,0.66,0.5177304964539007,eu_mlp,0.5
0.8,0.5,0.48,0.0,mlp,0.5
0.8,0.8926282051282052,0.89,0.88659793814433,bw_mlp,0.5
0.8,0.8950320512820513,0.895,0.8985507246376813,wu_mlp,0.5
0.8,0.8956330128205128,0.895,0.8970588235294118,hb_mlp,0.5
0.8,0.5024038461538461,0.4825,0.009569377990430623,eu_mlp,0.5
0.9,0.5048076923076923,0.485,0.01904761904761905,mlp,0.5
0.9,0.8177083333333334,0.8125,0.7922437673130195,bw_mlp,0.5
0.9,0.8641826923076923,0.8625,0.8614609571788414,wu_mlp,0.5
0.9,0.8195112179487178,0.815,0.7989130434782608,hb_mlp,0.5
0.9,0.5096153846153846,0.49,0.03773584905660378,eu_mlp,0.5
1.0,0.5,0.48,0.0,mlp,0.5
1.0,0.5,0.48,0.0,bw_mlp,0.5
1.0,0.5,0.48,0.0,wu_mlp,0.5
1.0,0.5,0.48,0.0,hb_mlp,0.5
1.0,0.5,0.48,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9090544871794871,0.9075,0.9072681704260651,mlp,0.5
0.0,0.9090544871794871,0.9075,0.9072681704260651,bw_mlp,0.5
0.0,0.8898237179487178,0.89,0.8942307692307693,wu_mlp,0.5
0.0,0.9028445512820513,0.9025,0.9051094890510949,hb_mlp,0.5
0.0,0.8972355769230769,0.8975,0.9016786570743405,eu_mlp,0.5
0.1,0.9022435897435899,0.9,0.8979591836734695,mlp,0.5
0.1,0.9042467948717948,0.9025,0.9017632241813602,bw_mlp,0.5
0.1,0.8956330128205128,0.895,0.8970588235294118,wu_mlp,0.5
0.1,0.898036858974359,0.8975,0.8997555012224939,hb_mlp,0.5
0.1,0.9024439102564102,0.9025,0.9060240963855423,eu_mlp,0.5
0.2,0.8928285256410255,0.89,0.8860103626943004,mlp,0.5
0.2,0.898036858974359,0.8975,0.8997555012224939,bw_mlp,0.5
0.2,0.8840144230769231,0.885,0.8915094339622641,wu_mlp,0.5
0.2,0.8946314102564101,0.895,0.8995215311004785,hb_mlp,0.5
0.2,0.8878205128205129,0.8875,0.8905109489051095,eu_mlp,0.5
0.30000000000000004,0.8647836538461539,0.86,0.8469945355191256,mlp,0.5
0.30000000000000004,0.9086538461538461,0.9075,0.9081885856079405,bw_mlp,0.5
0.30000000000000004,0.8848157051282052,0.885,0.8894230769230769,wu_mlp,0.5
0.30000000000000004,0.8922275641025641,0.8925,0.8968824940047961,hb_mlp,0.5
0.30000000000000004,0.8952323717948717,0.895,0.8980582524271844,eu_mlp,0.5
0.4,0.8455528846153846,0.84,0.8212290502793297,mlp,0.5
0.4,0.9074519230769231,0.905,0.9025641025641026,bw_mlp,0.5
0.4,0.8846153846153846,0.885,0.8899521531100478,wu_mlp,0.5
0.4,0.8956330128205128,0.895,0.8970588235294118,hb_mlp,0.5
0.4,0.9044471153846154,0.9025,0.9012658227848102,eu_mlp,0.5
0.5,0.7087339743589743,0.6975,0.5953177257525084,mlp,0.5
0.5,0.8948317307692308,0.8925,0.8900255754475703,bw_mlp,0.5
0.5,0.8952323717948717,0.895,0.8980582524271844,wu_mlp,0.5
0.5,0.8976362179487178,0.8975,0.9007263922518159,hb_mlp,0.5
0.5,0.8856169871794872,0.8825,0.877284595300261,eu_mlp,0.5
0.6000000000000001,0.5887419871794871,0.5725,0.3076923076923077,mlp,0.5
0.6000000000000001,0.8918269230769231,0.89,0.8888888888888888,bw_mlp,0.5
0.6000000000000001,0.8810096153846154,0.88,0.8811881188118811,wu_mlp,0.5
0.6000000000000001,0.893028846153846,0.8925,0.8948655256723717,hb_mlp,0.5
0.6000000000000001,0.717948717948718,0.7075,0.6188925081433225,eu_mlp,0.5
0.7000000000000001,0.5048076923076923,0.485,0.01904761904761905,mlp,0.5
0.7000000000000001,0.8856169871794872,0.8825,0.877284595300261,bw_mlp,0.5
0.7000000000000001,0.8493589743589743,0.85,0.8571428571428571,wu_mlp,0.5
0.7000000000000001,0.8709935897435898,0.87,0.8712871287128713,hb_mlp,0.5
0.7000000000000001,0.6608573717948718,0.6475,0.49097472924187724,eu_mlp,0.5
0.8,0.5,0.48,0.0,mlp,0.5
0.8,0.8573717948717949,0.855,0.8512820512820513,bw_mlp,0.5
0.8,0.8932291666666666,0.8925,0.8943488943488943,wu_mlp,0.5
0.8,0.9010416666666666,0.9,0.900990099009901,hb_mlp,0.5
0.8,0.5096153846153846,0.49,0.03773584905660378,eu_mlp,0.5
0.9,0.5,0.48,0.0,mlp,0.5
0.9,0.8157051282051283,0.81,0.7865168539325843,bw_mlp,0.5
0.9,0.8621794871794871,0.86,0.8571428571428572,wu_mlp,0.5
0.9,0.8199118589743589,0.815,0.7967032967032968,hb_mlp,0.5
0.9,0.5024038461538461,0.4825,0.009569377990430623,eu_mlp,0.5
1.0,0.5,0.48,0.0,mlp,0.5
1.0,0.5,0.48,0.0,bw_mlp,0.5
1.0,0.5,0.48,0.0,wu_mlp,0.5
1.0,0.5,0.48,0.0,hb_mlp,0.5
1.0,0.5,0.48,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9116586538461539,0.91,0.9095477386934674,mlp,0.5
0.0,0.9092548076923077,0.9075,0.906801007556675,bw_mlp,0.5
0.0,0.8948317307692308,0.895,0.8990384615384617,wu_mlp,0.5
0.0,0.9000400641025642,0.9,0.9033816425120774,hb_mlp,0.5
0.0,0.8974358974358975,0.8975,0.9012048192771084,eu_mlp,0.5
0.1,0.9016426282051282,0.9,0.8994974874371859,mlp,0.5
0.1,0.9084535256410255,0.9075,0.9086419753086419,bw_mlp,0.5
0.1,0.8896233974358976,0.89,0.894736842105263,wu_mlp,0.5
0.1,0.890625,0.89,0.892156862745098,hb_mlp,0.5
0.1,0.9026442307692308,0.9025,0.9055690072639226,eu_mlp,0.5
0.2,0.8878205128205129,0.885,0.8808290155440415,mlp,0.5
0.2,0.8966346153846154,0.895,0.8944723618090453,bw_mlp,0.5
0.2,0.8890224358974359,0.89,0.8962264150943395,wu_mlp,0.5
0.2,0.8772035256410257,0.8775,0.882494004796163,hb_mlp,0.5
0.2,0.8896233974358976,0.89,0.894736842105263,eu_mlp,0.5
0.30000000000000004,0.8381410256410257,0.8325,0.8123249299719888,mlp,0.5
0.30000000000000004,0.9042467948717948,0.9025,0.9017632241813602,bw_mlp,0.5
0.30000000000000004,0.8872195512820512,0.8875,0.8920863309352519,wu_mlp,0.5
0.30000000000000004,0.8946314102564101,0.895,0.8995215311004785,hb_mlp,0.5
0.30000000000000004,0.8924278846153846,0.8925,0.8963855421686748,eu_mlp,0.5
0.4,0.8120993589743589,0.805,0.7719298245614035,mlp,0.5
0.4,0.9040464743589743,0.9025,0.9022556390977444,bw_mlp,0.5
0.4,0.8904246794871795,0.89,0.8926829268292682,wu_mlp,0.5
0.4,0.8960336538461539,0.895,0.8960396039603961,hb_mlp,0.5
0.4,0.9016426282051282,0.9,0.8994974874371859,eu_mlp,0.5
0.5,0.6899038461538461,0.6775,0.5505226480836237,mlp,0.5
0.5,0.8998397435897435,0.8975,0.8951406649616368,bw_mlp,0.5
