%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9347738338505008,0.9375,0.9440715883668903,mlp,0.5
0.0,0.9288831706147986,0.93,0.9363636363636364,bw_mlp,0.5
0.0,0.957239082721562,0.96,0.9642857142857142,wu_mlp,0.5
0.0,0.8424026842251318,0.85,0.8706896551724138,hb_mlp,0.5
0.0,0.8637957567042559,0.875,0.8958333333333333,eu_mlp,0.5
0.1,0.8690431141047957,0.865,0.8701923076923076,mlp,0.5
0.1,0.9619188173263705,0.9625,0.9658314350797266,bw_mlp,0.5
0.1,0.9700925855849036,0.9725,0.9753914988814317,wu_mlp,0.5
0.1,0.9770554252125432,0.9775,0.979498861047836,hb_mlp,0.5
0.1,0.9705719115012993,0.9725,0.9752808988764046,eu_mlp,0.5
0.2,0.9679230051212189,0.9675,0.9701149425287355,mlp,0.5
0.2,0.97020611014405,0.97,0.9724770642201834,bw_mlp,0.5
0.2,0.949431115820278,0.9525,0.957683741648107,wu_mlp,0.5
0.2,0.9742929942733167,0.975,0.9772727272727273,hb_mlp,0.5
0.2,0.9692474583112591,0.97,0.9727272727272727,eu_mlp,0.5
0.30000000000000004,0.857854638108933,0.8475,0.8431876606683806,mlp,0.5
0.30000000000000004,0.9308004742803804,0.93,0.9351851851851852,bw_mlp,0.5
0.30000000000000004,0.8579050934685536,0.8675,0.8879492600422833,wu_mlp,0.5
0.30000000000000004,0.9660057014556371,0.9675,0.9706546275395034,hb_mlp,0.5
0.30000000000000004,0.9765760992961477,0.9775,0.979591836734694,eu_mlp,0.5
0.4,0.8666212568430082,0.855,0.8489583333333335,mlp,0.5
0.4,0.9288831706147986,0.93,0.9363636363636364,bw_mlp,0.5
0.4,0.8679961653926688,0.8775,0.8964059196617334,wu_mlp,0.5
0.4,0.8665581876434824,0.8775,0.8977035490605427,hb_mlp,0.5
0.4,0.9596357123035394,0.96,0.9634703196347032,eu_mlp,0.5
0.5,0.684931506849315,0.655,0.54,mlp,0.5
0.5,0.87817553419612,0.875,0.8809523809523809,bw_mlp,0.5
0.5,0.9282903201392566,0.9325,0.9403973509933774,wu_mlp,0.5
0.5,0.7916067509271172,0.8075,0.8450704225352111,hb_mlp,0.5
0.5,0.9295895456494868,0.925,0.9278846153846154,eu_mlp,0.5
0.6000000000000001,0.5593607305936072,0.5175,0.2122448979591837,mlp,0.5
0.6000000000000001,0.9317591261131714,0.93,0.9345794392523363,bw_mlp,0.5
0.6000000000000001,0.9499104417366734,0.9525,0.9574944071588366,wu_mlp,0.5
0.6000000000000001,0.855142662529327,0.865,0.8860759493670886,hb_mlp,0.5
0.6000000000000001,0.8739498978278968,0.8625,0.8571428571428572,eu_mlp,0.5
0.7000000000000001,0.5,0.4525,0.0,mlp,0.5
0.7000000000000001,0.8877872802038396,0.885,0.8909952606635071,bw_mlp,0.5
0.7000000000000001,0.8466030929135447,0.8525,0.8708971553610504,wu_mlp,0.5
0.7000000000000001,0.9417366734781402,0.9425,0.9476082004555809,hb_mlp,0.5
0.7000000000000001,0.7702515199677086,0.75,0.7093023255813953,eu_mlp,0.5
0.8,0.5,0.4525,0.0,mlp,0.5
0.8,0.885983501097404,0.8825,0.8878281622911695,bw_mlp,0.5
0.8,0.8121294684527864,0.82,0.8448275862068966,wu_mlp,0.5
0.8,0.8617397007997174,0.8675,0.8840262582056893,hb_mlp,0.5
0.8,0.5,0.4525,0.0,eu_mlp,0.5
0.9,0.5,0.4525,0.0,mlp,0.5
0.9,0.844521809329196,0.835,0.8316326530612246,bw_mlp,0.5
0.9,0.8452786397235045,0.85,0.8672566371681416,wu_mlp,0.5
0.9,0.8562148389212643,0.8625,0.8801742919389978,hb_mlp,0.5
0.9,0.5,0.4525,0.0,eu_mlp,0.5
1.0,0.5,0.4525,0.0,mlp,0.5
1.0,0.5,0.4525,0.0,bw_mlp,0.5
1.0,0.5,0.4525,0.0,wu_mlp,0.5
1.0,0.5,0.4525,0.0,hb_mlp,0.5
1.0,0.5,0.4525,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9421073717948717,0.9425,0.9451073985680192,mlp,0.5
0.0,0.8770032051282051,0.8775,0.8830548926014319,bw_mlp,0.5
0.0,0.9413060897435898,0.9425,0.9461358313817331,wu_mlp,0.5
0.0,0.9473157051282052,0.9475,0.9496402877697842,hb_mlp,0.5
0.0,0.9441105769230769,0.945,0.9481132075471698,eu_mlp,0.5
0.1,0.8707932692307692,0.87,0.8719211822660098,mlp,0.5
0.1,0.8762019230769231,0.8775,0.8852459016393442,bw_mlp,0.5
0.1,0.8952323717948718,0.8975,0.9061784897025171,wu_mlp,0.5
0.1,0.9551282051282051,0.955,0.9565217391304348,hb_mlp,0.5
0.1,0.9475160256410257,0.9475,0.9493975903614458,eu_mlp,0.5
0.2,0.8896233974358976,0.8875,0.8854961832061069,mlp,0.5
0.2,0.9451121794871794,0.945,0.9468599033816425,bw_mlp,0.5
0.2,0.9439102564102565,0.945,0.9483568075117371,wu_mlp,0.5
0.2,0.9356971153846154,0.935,0.9362745098039216,hb_mlp,0.5
0.2,0.8950320512820513,0.8975,0.9066059225512528,eu_mlp,0.5
0.30000000000000004,0.8912259615384616,0.8875,0.880636604774536,mlp,0.5
0.30000000000000004,0.8866185897435899,0.8875,0.8936170212765957,bw_mlp,0.5
0.30000000000000004,0.9499198717948717,0.95,0.9519230769230769,wu_mlp,0.5
0.30000000000000004,0.9475160256410257,0.9475,0.9493975903614458,hb_mlp,0.5
0.30000000000000004,0.9459134615384616,0.945,0.9458128078817735,eu_mlp,0.5
0.4,0.8131009615384616,0.8075,0.7843137254901962,mlp,0.5
0.4,0.9381009615384616,0.9375,0.938875305623472,bw_mlp,0.5
0.4,0.9445112179487178,0.945,0.9476190476190477,wu_mlp,0.5
0.4,0.8864182692307692,0.89,0.9022222222222223,hb_mlp,0.5
0.4,0.9477163461538461,0.9475,0.9491525423728813,eu_mlp,0.5
0.5,0.7041266025641024,0.6925,0.5830508474576271,mlp,0.5
0.5,0.9366987179487178,0.9375,0.9408983451536642,bw_mlp,0.5
0.5,0.9441105769230769,0.945,0.9481132075471698,wu_mlp,0.5
0.5,0.9431089743589745,0.9425,0.9437652811735942,hb_mlp,0.5
0.5,0.8341346153846154,0.8325,0.8312342569269521,eu_mlp,0.5
0.6000000000000001,0.6370192307692308,0.6225,0.43018867924528303,mlp,0.5
0.6000000000000001,0.8487580128205128,0.8475,0.8478802992518704,bw_mlp,0.5
0.6000000000000001,0.8944310897435899,0.8975,0.907865168539326,wu_mlp,0.5
0.6000000000000001,0.8038862179487181,0.81,0.8396624472573839,hb_mlp,0.5
0.6000000000000001,0.8743990384615384,0.87,0.8594594594594595,eu_mlp,0.5
0.7000000000000001,0.5,0.48,0.0,mlp,0.5
0.7000000000000001,0.9238782051282052,0.9225,0.9226932668329176,bw_mlp,0.5
0.7000000000000001,0.9521233974358975,0.9525,0.954653937947494,wu_mlp,0.5
0.7000000000000001,0.882411858974359,0.885,0.8954545454545455,hb_mlp,0.5
0.7000000000000001,0.8381410256410257,0.8325,0.8123249299719888,eu_mlp,0.5
0.8,0.5,0.48,0.0,mlp,0.5
0.8,0.8263221153846154,0.8225,0.8106666666666666,bw_mlp,0.5
0.8,0.844551282051282,0.8425,0.8396946564885496,wu_mlp,0.5
0.8,0.8391426282051283,0.835,0.8225806451612904,hb_mlp,0.5
0.8,0.538261217948718,0.52,0.1504424778761062,eu_mlp,0.5
0.9,0.5,0.48,0.0,mlp,0.5
0.9,0.7932692307692308,0.7875,0.7605633802816901,bw_mlp,0.5
0.9,0.9320913461538461,0.9325,0.9355608591885443,wu_mlp,0.5
0.9,0.8609775641025641,0.8575,0.8496042216358839,hb_mlp,0.5
0.9,0.5,0.48,0.0,eu_mlp,0.5
1.0,0.5,0.48,0.0,mlp,0.5
1.0,0.5,0.48,0.0,bw_mlp,0.5
1.0,0.5,0.48,0.0,wu_mlp,0.5
1.0,0.5,0.48,0.0,hb_mlp,0.5
1.0,0.5,0.48,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9543589230307277,0.955,0.9526315789473684,mlp,0.5
0.0,0.9543589230307277,0.955,0.9526315789473684,bw_mlp,0.5
0.0,0.8572965669102193,0.8575,0.8527131782945736,wu_mlp,0.5
0.0,0.9569362426183565,0.9575,0.9553805774278216,hb_mlp,0.5
0.0,0.8742618356520868,0.8725,0.8765133171912832,eu_mlp,0.5
0.1,0.9487538784906415,0.95,0.9462365591397849,mlp,0.5
0.1,0.9188769892903613,0.92,0.9144385026737968,bw_mlp,0.5
0.1,0.8924782304073666,0.8925,0.8894601542416453,wu_mlp,0.5
0.1,0.9516314683214894,0.9525,0.9496021220159152,hb_mlp,0.5
0.1,0.9620908817936142,0.9625,0.9608355091383811,eu_mlp,0.5
0.2,0.928585727154439,0.93,0.9243243243243243,mlp,0.5
0.2,0.8849214292863578,0.8875,0.8732394366197185,bw_mlp,0.5
0.2,0.9325142628365529,0.9325,0.9305912596401028,wu_mlp,0.5
0.2,0.8819937944149735,0.88,0.8846153846153847,hb_mlp,0.5
0.2,0.94692723451106,0.9475,0.9448818897637795,eu_mlp,0.5
0.30000000000000004,0.8894755279751776,0.8925,0.8767908309455587,mlp,0.5
0.30000000000000004,0.9461765589030127,0.9475,0.9433962264150944,bw_mlp,0.5
0.30000000000000004,0.9002101891702532,0.9,0.8979591836734694,wu_mlp,0.5
0.30000000000000004,0.9498048243419077,0.95,0.9481865284974094,hb_mlp,0.5
0.30000000000000004,0.9317635872285056,0.9325,0.928759894459103,eu_mlp,0.5
0.4,0.8226153538184365,0.8275,0.7876923076923076,mlp,0.5
0.4,0.8603242918626764,0.86,0.8578680203045685,bw_mlp,0.5
0.4,0.9372184966469823,0.9375,0.935064935064935,wu_mlp,0.5
0.4,0.8254178760884796,0.8225,0.8344988344988347,hb_mlp,0.5
0.4,0.9235812231007907,0.925,0.918918918918919,eu_mlp,0.5
0.5,0.7114903413071765,0.72,0.5971223021582733,mlp,0.5
0.5,0.8341257131418277,0.8375,0.8115942028985508,bw_mlp,0.5
0.5,0.8648783905514965,0.865,0.8608247422680413,wu_mlp,0.5
0.5,0.846511860674607,0.845,0.848780487804878,hb_mlp,0.5
0.5,0.9257081373235913,0.9275,0.9205479452054794,eu_mlp,0.5
0.6000000000000001,0.5309278350515464,0.545,0.11650485436893204,mlp,0.5
0.6000000000000001,0.8370033029726754,0.84,0.8171428571428573,bw_mlp,0.5
0.6000000000000001,0.8541187068361525,0.855,0.8465608465608465,wu_mlp,0.5
0.6000000000000001,0.9440496446802121,0.945,0.9414893617021276,hb_mlp,0.5
0.6000000000000001,0.7346862175958363,0.7425,0.6411149825783972,eu_mlp,0.5
0.7000000000000001,0.5,0.515,0.0,mlp,0.5
0.7000000000000001,0.873235912321089,0.875,0.8633879781420764,bw_mlp,0.5
0.7000000000000001,0.8934040636572916,0.895,0.8858695652173914,wu_mlp,0.5
0.7000000000000001,0.8835451906716045,0.885,0.8756756756756756,hb_mlp,0.5
0.7000000000000001,0.6547893103793414,0.665,0.4765625,eu_mlp,0.5
0.8,0.5,0.515,0.0,mlp,0.5
0.8,0.814257832048844,0.8175,0.7896253602305476,bw_mlp,0.5
0.8,0.8557952156941248,0.8575,0.8446866485013624,wu_mlp,0.5
0.8,0.887648883995596,0.89,0.8770949720670391,hb_mlp,0.5
0.8,0.5,0.515,0.0,eu_mlp,0.5
0.9,0.5,0.515,0.0,mlp,0.5
0.9,0.8050245220698629,0.81,0.765432098765432,bw_mlp,0.5
0.9,0.8429086177559804,0.845,0.8287292817679559,wu_mlp,0.5
0.9,0.7833299969972976,0.7875,0.746268656716418,hb_mlp,0.5
0.9,0.5,0.515,0.0,eu_mlp,0.5
1.0,0.5,0.515,0.0,mlp,0.5
1.0,0.5,0.515,0.0,bw_mlp,0.5
1.0,0.5,0.515,0.0,wu_mlp,0.5
1.0,0.5,0.515,0.0,hb_mlp,0.5
1.0,0.5,0.515,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9543589230307277,0.955,0.9526315789473684,mlp,0.5
